Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupés;VICHADA;Total general
11-oct-2011;;16;;2;;;;;;;;;;5;;1;;4;3;;;1;;1;;;2;;1;5;;;41
11-sep-2011;;15;;3;1;;;;;2;;;;3;;1;;4;1;1;2;4;;;;;;;;8;;;45
12-apr-2011;;10;;2;1;;;;2;1;3;;1;3;;;;4;;1;5;;;;;;;;1;15;;;49
12-aug-2011;;14;;4;;;1;;;1;;;;3;;;;2;1;3;8;;;1;3;;1;;2;8;;;52
12-dec-2011;;15;;2;1;;;1;;2;;;;6;;;;1;1;;1;4;;;1;;;;1;12;;;48
12-feb-2011;;16;;1;;;;1;;7;1;;;2;;;;;2;2;1;2;1;;1;;1;;1;16;;;55
12-jan-2011;;21;;3;1;1;;;;1;;;;14;;;;2;2;;1;3;1;;;1;1;2;;15;;;69
12-jul-2011;;20;;3;1;;;;;;1;;;10;;;;2;;2;4;1;;;;;4;;2;13;;;63
12-jun-2011;;11;;1;1;1;2;1;1;;;;;3;;;;5;1;2;1;2;;;1;1;1;2;1;10;;;48
12-mar-2011;;14;1;5;3;;;;;4;1;;;6;;2;;4;1;1;;1;;;3;;;;1;15;;;62
12-may-2011;;20;1;2;;1;;;1;2;;;;8;;;;3;;2;1;1;;1;1;;3;3;2;5;;;57
12-nov-2011;;13;;4;1;;1;;;5;;;;3;;;;5;;;5;2;;1;2;;;1;2;8;;;53
12-oct-2011;;16;;2;1;;;;;1;2;;1;7;;;;3;3;;;;;;;;;2;;12;;;50
12-sep-2011;;26;;1;3;;;;;1;;;;10;;2;;3;1;2;5;2;1;;;;4;;1;10;;;72
13-apr-2011;;19;;3;1;;;;;2;1;;;3;;1;;3;2;2;5;;;;;;1;;1;15;;;59
13-aug-2011;;21;;4;;;1;;1;2;;;2;3;;2;;3;;2;1;2;;;;;;1;2;7;;;54
13-dec-2011;;23;;3;;;;1;1;;;;;10;;2;;4;;1;3;1;;1;;;5;2;2;9;;;68
13-feb-2011;;14;;3;3;2;;;;2;4;;;3;;1;;2;;3;4;;;;1;;1;;;8;;;51
13-jan-2011;;11;;1;3;;;;;3;1;;;8;;;1;3;;1;;1;1;;;;;7;;9;;;50
13-jul-2011;;23;;1;1;;1;;;1;;;;2;;1;;1;;2;6;1;;;;;;;2;9;;;51
13-jun-2011;;15;;1;1;;1;;;1;1;;;7;;;;2;;1;4;;;;1;;2;;;13;;;50
13-mar-2011;;11;;2;2;;;;1;1;;;;6;;;;3;2;3;4;1;;;;;;1;1;8;;;46
13-may-2011;;17;;1;;;;;;;;;;6;;;;1;;3;1;4;;;1;;;;;15;;;49
13-nov-2011;;6;;6;2;;1;;;5;;;1;;;;;2;;2;1;1;;;1;;;;1;8;;;37
13-oct-2011;;16;;2;;;;1;;1;;;;6;;;;3;1;;2;1;;;1;;1;1;;10;;;46
13-sep-2011;;13;;3;;;1;;;;1;;;7;;1;;3;;;2;1;2;;;;2;;1;9;;;46
14-apr-2011;;11;1;3;;;1;;;1;;;1;2;;2;;1;1;3;1;1;;;;;3;;1;10;;;43
14-aug-2011;;12;1;;3;;1;1;;2;;;1;3;;;;6;;4;1;;;;1;;1;;;6;;;43
14-dec-2011;;28;;6;2;;;;1;1;;;1;5;;;;3;;1;1;1;;1;;;2;;1;8;;;62
14-feb-2011;;33;;3;;;;1;;2;1;;;2;;1;;1;1;3;4;2;;;;;1;;1;15;;;71
14-jan-2011;1;32;;2;;;;2;1;;1;;1;8;;;;1;1;;2;1;;;1;;;1;2;20;;;77
14-jul-2011;;21;;1;;;2;;;;;;;8;;1;;1;1;;5;1;;;3;;1;;1;10;;;56
14-jun-2011;;13;1;4;3;1;;;3;;;;;4;;;;5;1;2;8;;;;1;;1;;2;6;;;55
14-mar-2011;;13;;2;1;;;;1;3;1;1;;10;;1;;3;2;1;1;1;;;1;1;1;;3;10;;;57
14-may-2011;;11;;6;1;1;;;;2;1;;;5;;;;2;;1;1;;;;1;;1;2;;9;;;44
14-nov-2011;;16;2;3;1;;;1;;3;;;;1;;1;;7;1;1;1;1;;1;;;2;3;;7;;;52
14-oct-2011;;10;;4;;;;1;;2;1;;;6;;;;2;;2;;2;1;;1;2;1;;2;11;;;48
14-sep-2011;;53;;3;;;;;;;;;;11;;;;3;1;;1;;;1;1;;1;;1;6;;;82
15-apr-2011;;4;1;4;1;;;2;;3;;;;4;;2;;4;1;3;5;1;;;2;;3;1;1;17;;;59
15-aug-2011;;5;;1;1;;1;;1;1;;;;3;;2;;5;;1;2;;;;2;;;;;7;;;32
