Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
15-jul-2012;;13;2;2;;1;;1;1;4;3;2;2;4;;1;;7;2;1;2;2;;;1;;1;1;1;9;1;;64
15-jun-2012;;25;;5;2;1;;;;3;2;1;1;8;;;;5;4;1;3;1;;;2;;2;1;;9;;;76
15-mar-2012;;21;;9;1;;;;;3;2;1;;5;;;;3;1;2;2;;;;;;2;1;2;10;;;65
15-may-2012;;16;1;5;1;;;;;3;;;1;1;;2;;4;1;2;4;1;;1;1;;1;2;2;11;;;60
15-nov-2012;;3;;3;1;;1;;;2;;;;11;;1;;3;;1;3;;;1;1;;1;;2;12;;;46
15-oct-2012;;11;;5;1;;;;;3;2;;1;9;;1;1;6;;5;2;;;;1;;1;;1;10;;;60
15-sep-2012;;19;;4;1;1;1;;;10;1;;;9;;1;;5;;3;7;1;;;;;2;;;15;;1;81
16-apr-2012;;22;;;;;2;;1;2;2;;;9;;1;;2;2;8;4;;;;;;2;;;10;;;67
16-aug-2012;;31;;6;;;;;;1;3;;;7;;2;;5;;3;3;5;;;;;2;;3;15;;;86
16-dec-2012;;8;;;1;;;;;;;2;;6;;1;;3;;1;1;;2;;;;5;;2;10;;;42
16-feb-2012;;26;;9;4;;;;;7;;1;;10;;;;3;;1;2;;;;1;;1;1;1;11;;;78
16-jan-2012;;22;;1;3;;;;;2;2;;;4;;;;1;3;2;3;1;;;;;2;3;6;10;;;65
16-jul-2012;;26;;3;1;;;;;4;1;2;1;5;;;;1;;3;3;4;;;;;2;1;3;10;;;70
16-jun-2012;;12;;2;1;;1;;;7;2;1;;4;;3;;10;2;1;4;3;1;;;;3;1;2;11;;;71
16-mar-2012;;21;;1;;;;2;;6;;;1;5;;2;;1;1;1;6;2;;;;;3;;6;14;;;72
16-may-2012;;18;;1;1;;;;;5;1;;1;5;;;;2;;;6;1;;;;;2;;;9;;;52
16-nov-2012;;6;;1;2;;;;;5;2;;;6;;2;;4;;;2;2;;1;1;;1;;2;14;;;51
16-oct-2012;;12;;;;;;;;2;3;;;4;;;;1;2;2;;3;2;;;;;;2;9;;;42
16-sep-2012;;7;;3;1;1;1;1;;3;;;;2;;;;9;1;4;2;2;;;1;;4;1;6;10;;;59
17-apr-2012;;20;;2;;;;;;7;2;;;6;;;;3;;2;3;3;;;;;3;;1;14;;;66
17-aug-2012;;25;;4;;;;;;6;2;;3;4;;3;;1;1;;2;4;;1;;1;5;;1;7;;;70
17-dec-2012;;14;3;1;1;1;;;;3;2;2;;6;;;;2;3;5;3;1;;;2;;2;4;2;12;;;69
17-feb-2012;;25;1;6;1;;1;;;10;1;;;7;;;;4;;4;3;3;;2;;1;1;3;2;13;;;88
17-jan-2012;;16;;4;1;1;1;;1;3;1;;2;11;;;;2;1;2;2;2;;;1;;1;1;1;11;;;65
17-jul-2012;;18;;4;;;;;;3;;;1;6;;;;5;2;;6;1;;;2;;1;;1;18;;;68
17-jun-2012;;12;;4;3;;;1;2;4;1;;1;2;;;;2;;3;3;1;;;;;;1;1;12;;;53
17-mar-2012;;25;;6;2;;;;1;5;3;;;4;;2;;3;;2;3;2;;;1;;;;4;11;;;74
17-may-2012;;16;;3;;;;3;;3;2;1;1;12;;1;;3;;1;;2;;;1;;;;3;11;;;63
17-nov-2012;;1;;5;1;;;;1;2;1;;;5;;;;6;1;;4;1;1;;1;;3;1;;11;;;45
17-oct-2012;;13;;4;;1;;1;1;1;1;;2;8;;;;4;;3;2;;;;2;;1;1;;8;;;53
17-sep-2012;;16;;;2;;;;;4;;2;;12;;1;;3;2;1;1;1;1;;;;1;;1;5;;;53
18-apr-2012;;19;;5;2;;1;;3;5;;;;3;;;;3;;4;3;1;;;;1;1;;1;8;;;60
18-aug-2012;;8;;3;;;;;;4;2;4;;3;;;;6;2;3;1;2;2;;1;;;;1;15;;;57
18-dec-2012;;10;1;3;;;1;;;1;;1;;6;;1;;5;2;;5;2;;;;;1;1;2;13;;;55
18-feb-2012;;20;;;2;;;;;6;2;1;;6;;1;;3;3;1;1;1;;;;;1;2;;14;;;64
18-jan-2012;;22;1;4;5;1;;;;6;1;;;9;;1;;2;1;1;4;3;1;1;1;1;2;2;1;10;;;80
18-jul-2012;;17;;2;1;;1;1;1;1;1;;1;3;;;;4;1;;2;1;;;;;1;;2;10;;;50
18-jun-2012;;12;;2;4;;;;;3;2;1;;1;;;;5;1;2;1;1;;;;;;;1;6;;;42
18-mar-2012;;11;1;4;1;;;;;2;2;1;2;2;;1;;4;4;2;1;1;;1;;1;1;1;2;8;;;53
18-may-2012;;19;1;3;2;;;2;;7;1;;2;6;;2;;3;1;;6;1;;;1;;1;;3;9;;;70
18-nov-2012;;1;1;;1;;;;;3;;1;;3;;;1;5;1;;3;3;;;2;;1;;2;3;;;31
18-oct-2012;;11;1;4;1;;;;;5;1;;;10;;;1;4;1;;1;1;;;;;1;;3;9;;;54
18-sep-2012;;18;1;;;;;;;1;;1;;9;;;;3;1;1;2;;;;;1;1;1;1;6;;;47
19-apr-2012;;28;;4;;1;;1;;6;9;;;8;;;;3;2;2;1;2;;;1;;2;1;4;13;;;88
19-aug-2012;;13;1;3;;;;1;;5;2;;;3;;;1;10;;6;4;;2;;2;;1;;;12;;;66
19-dec-2012;;17;;2;;;;1;;2;;;;5;;1;;3;;1;10;1;;1;;;1;1;2;6;;;54
19-feb-2012;;14;2;2;;1;;;1;4;1;;;2;;;;3;1;4;3;1;;1;3;1;1;1;1;12;;;59
19-jan-2012;;18;;4;1;;1;;;7;1;;;3;;;;3;1;4;4;;;1;;;;2;2;5;;;57
19-jul-2012;;29;1;1;;;;;1;;;1;;9;;;;3;;;1;1;;;;;;;3;9;;;59
