Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupoés;VICHADA;Total general
13-mar-2014;;16;;3;2;;1;1;1;5;1;2;1;9;;1;;2;1;6;;3;1;3;1;;1;;1;11;;;73
13-may-2014;;10;;1;;;1;2;;1;5;;;8;;3;;2;1;3;2;;1;;;;;;2;15;;;57
13-nov-2014;;18;;1;;1;;;1;3;1;1;1;14;;3;;3;3;2;;6;1;;;;6;;1;9;;;75
13-oct-2014;;8;;1;;1;1;1;1;1;;;2;3;;1;;5;;3;;5;;;;;1;;;6;;;40
13-sep-2014;;17;;1;1;;;2;1;5;1;3;;3;;2;;4;;1;;4;1;;3;;1;1;;13;;;64
14-apr-2014;;18;;4;1;;;;1;4;4;1;1;6;;1;;1;5;1;;1;1;;;;1;1;;12;;;64
14-aug-2014;;21;1;2;2;;;;;4;;;1;9;;2;;2;1;1;2;5;;;3;;1;2;;19;;;78
14-dec-2014;;16;1;;1;;;1;4;2;1;1;1;2;;11;;5;2;1;2;2;1;1;;;3;1;2;11;;;72
14-feb-2014;;16;;6;;;2;1;2;1;2;;;8;;2;;;;2;2;2;;;;;1;1;2;15;;;65
14-jan-2014;;23;;5;1;2;;;1;6;4;5;;9;;3;;1;;2;1;1;;;2;;;;3;11;;;80
14-jul-2014;;12;;;;;1;2;2;4;;;2;12;;1;;2;;1;4;2;;;1;;2;2;1;11;;;62
14-jun-2014;;9;;2;1;;1;;;1;3;;3;4;;2;;1;;1;2;4;1;;;;2;3;1;12;;;53
14-mar-2014;;16;;2;1;;;;1;1;1;;;11;;5;;3;1;2;2;2;;;1;;;2;;5;;;56
14-may-2014;;23;;4;1;;2;;2;3;2;1;;10;;1;;;2;1;2;4;;;1;;4;;;13;;;76
14-nov-2014;;18;;7;;;1;1;1;2;1;1;2;8;;3;;;;1;5;4;;;;;1;3;2;12;;;73
14-oct-2014;;20;;2;3;;;1;;4;3;1;;9;;4;;7;;3;4;1;;;1;;1;1;1;15;;;81
14-sep-2014;;15;;1;3;;;2;;5;5;;3;9;;7;1;1;1;3;1;;1;;2;;3;2;;9;;;74
15-apr-2014;;10;;2;1;;1;1;;;;1;1;13;;;;1;;6;1;1;;;;;;1;1;7;;;48
15-aug-2014;;18;;3;1;;;;;6;5;1;;5;;1;;1;;3;4;4;;2;;;2;;2;19;;;77
15-dec-2014;;17;1;;1;;;;2;8;1;1;4;4;;1;;;1;1;;4;1;;;;;1;2;9;;;59
15-feb-2014;;22;;8;2;;;2;1;;3;;1;6;;1;;3;1;2;1;1;;;2;;2;1;;11;;;70
15-jan-2014;;23;;2;1;;1;1;1;4;1;2;3;11;;;;2;;7;1;;;;1;;2;;;9;;;72
15-jul-2014;;13;;2;1;;;;;3;2;1;2;8;;2;;1;2;;;5;;;1;;3;1;;15;;;62
15-jun-2014;;6;;2;;;;;;4;2;;3;;;1;;1;;3;1;1;;;;1;2;;;13;;;40
15-mar-2014;;11;1;2;2;;1;1;;2;2;2;;4;;3;;2;3;4;2;1;;;2;;1;;5;8;;;59
15-may-2014;;20;;6;;;;;1;1;1;;;13;;1;;1;;2;1;2;;;;;1;;;13;;;63
15-nov-2014;;10;;1;1;;;;1;4;1;1;2;6;;7;;1;;4;1;1;2;;1;;;;;13;;;57
15-oct-2014;;22;;2;3;;;;1;3;2;1;5;12;;2;;1;;1;2;2;;;1;;2;1;;11;;;74
15-sep-2014;;23;;4;;1;;;;3;5;1;5;9;;1;;2;;1;3;2;2;;1;;4;;1;13;;;81
16-apr-2014;;24;;4;;;;1;1;2;1;3;3;4;;;;1;3;4;5;3;1;;;;1;;;11;;;72
16-aug-2014;;17;1;3;4;;;;;3;5;;1;4;;2;;4;1;5;1;7;1;3;2;;1;1;2;19;;1;88
16-dec-2014;;22;;3;1;;;1;;2;1;;;5;;6;;2;1;2;1;4;;1;;;1;1;;9;;;63
16-feb-2014;;13;;2;2;;;4;1;6;1;1;2;3;;;;2;2;2;2;2;;1;;;1;1;1;6;;;55
16-jan-2014;;21;;;2;;;2;3;3;2;2;;9;;1;;;2;3;2;1;;;;;1;;1;11;;;66
16-jul-2014;;25;1;2;4;;;;2;4;3;1;3;12;;3;;1;;2;4;2;;;1;;2;;1;9;;1;83
16-jun-2014;;16;;2;2;;;;1;4;1;;1;9;;;;;;1;;2;;;2;;;;;17;;;58
16-mar-2014;1;8;;2;3;;1;1;2;2;2;2;2;;;6;;1;1;;2;1;;1;;;2;2;1;8;;;51
16-may-2014;;16;;3;1;;;;2;2;1;;4;10;;1;;1;;5;4;2;;;2;;1;;;11;;;66
16-nov-2014;;4;;1;;;;3;5;3;4;5;1;1;;2;;3;1;2;4;2;1;;;;;;;7;;;49
16-oct-2014;;19;;2;2;;;3;2;1;;;;15;;1;;;2;4;4;4;;;2;;2;;2;14;;;79
16-sep-2014;;21;;3;;;;;;1;1;;2;13;;;;2;1;2;;1;;2;;;;1;1;9;;1;61
17-apr-2014;;7;;4;1;;;;;3;2;3;;1;;2;;;;1;2;1;;;;;2;;1;5;;;35
17-aug-2014;;11;1;3;1;1;;;;5;2;2;4;1;;2;;4;1;4;4;3;1;;;;1;5;3;11;;;70
17-dec-2014;;29;1;4;;1;;;1;3;;;1;3;;4;;2;1;1;2;1;;;1;;3;;;7;;;65
17-feb-2014;;9;;2;;;;1;2;4;1;;1;10;;2;;;1;4;3;1;;1;;1;;;2;7;;;52
17-jan-2014;;13;1;2;3;;;1;1;5;2;4;2;6;;2;;1;1;4;1;1;;;1;;;3;1;9;;;64
17-jul-2014;;17;2;2;;;;1;1;5;2;;2;7;;2;;;;1;2;4;;;4;;;4;2;17;;;75
17-jun-2014;;14;1;1;2;;1;;;6;2;2;;17;;2;1;2;;3;3;2;3;;1;;1;;4;15;;;83
17-mar-2014;;20;;1;;1;1;;2;2;;1;1;8;;4;;4;1;2;3;2;1;1;;;2;3;;10;;;70
17-may-2014;;14;1;4;4;;1;1;1;2;2;1;1;7;;4;;1;1;6;2;1;2;;1;;1;2;2;15;;;77
17-nov-2014;;9;1;2;;;;;;4;;2;;3;;2;1;;;5;1;3;;;1;;3;1;;9;;;47
17-oct-2014;1;13;;2;1;;;1;4;3;;1;;11;;2;;1;;2;1;6;;;1;;;;1;16;;;67
17-sep-2014;;15;1;3;1;;;2;1;9;1;;;6;;1;;2;1;4;3;2;1;;5;;;1;1;10;;;70
18-apr-2014;;3;1;4;1;;;;;1;;1;;;;;;1;2;1;;1;;;;;;1;;3;;;20
18-aug-2014;;12;2;1;;;;2;1;9;2;2;;3;;2;;1;2;3;3;2;;;;;;1;1;2;;;51
18-dec-2014;;19;;5;;;;;3;4;;2;;8;;3;;;2;2;2;4;1;1;;;3;4;;11;;;74
18-feb-2014;;16;;3;1;;;2;;1;4;;;9;;1;;1;;;3;3;1;;1;;1;;;12;;;59
18-jan-2014;;16;1;2;5;1;;;1;2;4;;1;5;;1;1;2;;1;3;4;;3;;;1;1;1;11;;;67
18-jul-2014;;16;;5;1;;;;;3;5;;2;7;;1;;5;2;1;1;1;;;;;;3;1;7;;;61
18-jun-2014;;9;;3;3;;1;;;1;2;;;5;;2;;2;1;1;;1;1;;2;;1;;1;11;;;47
18-mar-2014;;20;;1;;;;2;;;2;2;1;13;;2;;1;;2;2;;1;;1;;1;;;9;;;60
18-may-2014;;6;;7;2;;;1;;6;3;1;4;3;;1;;4;1;2;4;3;2;;1;1;1;1;;7;;;61
18-nov-2014;;16;1;5;1;;;1;2;6;2;;;11;;4;;;2;4;;3;;;1;;3;1;;11;;;74
18-oct-2014;;15;;3;1;;1;2;2;5;1;;6;5;;3;;5;;4;3;4;;;2;;;1;;8;;;71
18-sep-2014;;18;;4;1;;;2;;1;4;;;13;;4;;2;2;2;3;2;1;1;1;;2;1;1;10;;;75
