Etiquetas de fila,AMAZONAS,ANTIOQUIA,ARAUCA,ATLÁNTICO,BOLÍVAR,BOYACÁ,CALDAS,CAQUETÁ,CASANARE,CAUCA,CESAR,CHOCÓ,CÓRDOBA,CUNDINAMARCA,GUAINÍA,GUAJIRA,GUAVIARE,HUILA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,PUTUMAYO,QUINDÍO,RISARALDA,SAN ANDRÉS,SANTANDER,SUCRE,TOLIMA,VALLE,VAUPÉS,VICHADA,Total general
21-apr-2018,,25,2,8,7,,,,3,7,2,4,3,15,,2,,,2,3,3,4,,,,,6,5,2,11,,,114
21-may-2018,,17,,3,2,,,1,,2,3,2,3,18,,1,,,1,2,3,2,,1,,,5,1,3,12,,,82
21-jun-2018,,23,,4,6,,,2,2,10,4,,5,16,,4,,3,1,4,4,1,,2,,,6,1,1,12,,,111
21-jul-2018,,29,1,7,4,,,,,8,2,,3,9,,1,,2,3,2,5,3,1,,,,2,,1,6,,,89
21-aug-2018,,20,,5,3,,,1,,8,2,2,1,12,,1,,1,3,3,4,3,,1,,,4,3,1,12,,,90
21-sep-2018,,32,2,5,2,,1,,1,6,1,5,1,9,,2,,1,1,3,,2,1,,,,4,2,1,7,,,89
22-jan-2018,,22,,9,5,1,,1,1,10,3,,1,15,,1,,3,1,2,1,2,,2,,,1,1,,12,,,94
22-feb-2018,,25,2,3,8,,1,2,1,8,7,1,2,21,,3,,,4,3,5,,1,2,,,3,,1,4,,1,108
22-mar-2018,,23,2,9,5,,,2,2,4,5,,3,17,,1,,2,2,,3,5,,5,,,,3,2,7,,,102
22-apr-2018,,17,,5,4,,,1,1,7,5,1,,6,,,1,3,3,2,3,3,,1,,1,2,4,2,15,,,87
22-may-2018,,21,1,3,5,,,,2,5,5,1,2,12,,1,1,,1,1,4,2,,,,,5,,,12,,,84
22-jun-2018,,23,1,3,4,1,,2,,12,5,2,1,15,,2,,3,,3,3,4,,,,,1,1,1,12,,1,100
22-jul-2018,,15,,2,3,,1,,,7,7,,,10,,1,,1,2,2,4,4,1,1,1,,9,,1,12,,1,85
22-aug-2018,,20,2,3,2,,1,1,2,3,,3,3,10,,4,,,2,2,4,4,,,2,,2,3,1,10,,,84
22-sep-2018,,10,,5,4,1,,,4,6,5,3,3,8,,1,,,4,2,4,3,1,,,,4,3,2,6,,,79
23-jan-2018,,16,,1,8,,,1,,3,5,,2,18,,5,,5,2,2,1,4,,,,,4,1,,11,,,89
23-feb-2018,,13,2,9,2,,,,,7,3,,6,15,,5,,3,,2,3,8,1,1,1,1,5,1,2,3,,,93
23-mar-2018,,16,4,3,1,1,1,1,,4,6,,2,15,,,,1,2,3,1,,1,,1,,2,,3,7,,1,76
23-apr-2018,,31,1,8,5,,,1,,8,1,,4,15,,2,1,2,3,2,4,1,1,1,,,2,2,1,8,,,104
23-may-2018,,25,,3,1,1,1,,1,5,2,2,1,14,,4,,2,2,1,1,1,,1,,,1,,1,9,,1,80
23-jun-2018,1,15,,4,5,,1,,1,6,1,,3,10,1,5,,1,3,5,6,,,1,,,6,2,,7,,,84
23-jul-2018,,24,1,4,5,,,1,4,7,,1,1,16,,2,,2,2,1,1,1,1,1,,,2,2,3,11,,,93
23-aug-2018,,23,1,4,4,,,,,7,,,,16,,5,,3,1,2,1,1,1,,,1,5,,1,8,,,84
23-sep-2018,,12,,3,4,,,3,3,7,4,2,1,10,,3,,2,3,3,2,2,,1,2,,2,1,1,5,,,76
24-jan-2018,,25,,3,3,,1,1,,8,5,,2,20,,3,1,1,2,1,1,,,,,,5,2,2,10,,,96
24-feb-2018,,22,1,5,2,,,,,5,1,2,5,7,,2,,2,1,4,2,3,,,1,,,4,1,11,,,81
24-mar-2018,,18,,3,4,1,,,2,2,2,1,5,17,,4,,1,,1,2,3,1,1,,,3,2,,4,,,77
24-apr-2018,,25,1,3,4,,1,3,,7,5,1,2,24,,1,,3,,5,1,3,,,,,4,,1,15,,,109
24-may-2018,,22,1,1,3,,,2,1,3,6,4,1,10,,3,,,1,3,6,1,1,,1,,2,1,2,12,,,87
24-jun-2018,,23,1,3,2,,,1,5,5,3,,5,4,,2,,1,3,6,7,2,1,,,,6,5,1,19,,,105
24-jul-2018,,30,,2,6,,,1,,5,2,1,2,15,,2,,3,2,2,3,4,,,,1,3,2,3,5,,,94
24-aug-2018,,24,,9,2,,,2,2,7,2,2,2,19,,3,,1,3,2,5,4,2,,,,3,2,1,7,,,104
24-sep-2018,,18,1,1,5,,,,,6,3,,1,8,,,,,3,1,1,3,,,,,3,1,1,4,,,60
25-jan-2018,,30,,1,4,,,,1,7,1,,1,15,,2,,1,3,1,3,4,1,,,,2,2,1,15,,,95
25-feb-2018,,20,1,5,3,,,3,,9,7,2,2,9,,,,2,4,2,6,2,4,1,1,,2,,4,13,,,102
25-mar-2018,1,16,,4,8,,,1,,9,3,1,2,10,,2,1,,1,6,4,5,5,1,,1,1,5,2,10,,,99
25-apr-2018,1,25,,6,2,,,,1,9,6,3,2,14,,1,,,2,3,2,2,2,,1,,4,3,3,13,,,105
25-may-2018,,26,,4,1,,,,1,7,2,2,4,17,,3,,,3,5,2,,,4,,,3,,,9,,,93
25-jun-2018,,21,,3,3,1,,,1,7,6,1,,14,,4,,,1,,3,2,,,,,6,1,,11,,,85
25-jul-2018,,31,2,7,3,,,,,6,3,3,2,16,,,,1,2,5,3,1,,1,1,,9,1,1,5,,,103
25-aug-2018,,16,,7,2,1,,3,,7,7,1,3,6,,1,,2,5,1,5,4,,1,,,4,3,,12,,,91
25-sep-2018,,26,1,6,,,1,,1,4,2,4,2,18,,1,,2,,3,,,1,1,2,,1,1,1,9,,,87
26-jan-2018,,11,1,4,1,,1,,,4,7,1,3,12,,3,,2,5,,2,,,,,1,2,,,9,,,69
26-feb-2018,,19,2,6,3,,,,2,2,1,,3,15,,,,3,1,1,3,4,1,,2,1,4,3,2,9,,1,88
26-mar-2018,,20,,4,4,,,1,1,3,4,1,4,20,,3,,,2,4,2,5,,,1,,,4,1,10,,,94
26-apr-2018,,25,2,3,1,,,1,1,4,1,4,6,16,,2,,,3,3,7,3,,1,,,4,1,2,17,,1,108
26-may-2018,1,17,,1,5,,,2,2,6,1,1,1,5,,1,,2,4,3,4,3,1,,1,,,2,3,7,,,73
26-jun-2018,,11,,2,4,,,2,2,4,,1,4,11,,2,,3,1,1,1,1,,,,,2,,,11,,,63
26-jul-2018,,19,1,4,1,1,,2,1,7,1,,,21,,3,,,2,1,,3,2,,,1,2,,4,5,,,81
26-aug-2018,,13,1,2,3,1,,,,2,3,4,,7,,1,,3,5,3,5,1,1,,,,6,1,1,8,,,71
26-sep-2018,,23,,3,1,,,,,,2,,1,11,,2,,,,1,1,4,1,,,,3,1,,6,,,60
27-jan-2018,,19,,4,5,,1,,1,4,7,1,1,11,,2,,4,6,,4,2,,,2,,6,3,2,11,,,96
27-feb-2018,,19,,5,5,,,,2,4,4,1,4,14,,5,,5,3,3,1,4,1,,,1,2,,,11,,,94
27-mar-2018,,16,,2,3,1,,1,,2,3,1,3,14,,2,,2,1,1,3,3,,,,,3,2,1,10,,,74
27-apr-2018,,19,,1,3,,1,,2,7,5,2,2,19,,2,,3,3,7,5,2,,,1,,2,,,13,,,99
27-may-2018,,17,,4,1,,1,,,3,4,1,2,4,,2,,1,2,1,3,,,,,1,3,,,7,,,57
27-jun-2018,,17,1,2,1,,,2,,3,3,3,2,17,,,,1,1,4,2,3,2,,,,3,4,1,7,,,79
27-jul-2018,,25,,5,,,1,1,,2,3,,1,11,,5,,1,,2,3,7,1,2,1,,2,2,1,3,,,79
27-aug-2018,,20,,2,,2,,3,2,4,2,1,,14,,,,,2,,2,2,,,1,,5,,3,9,,,74
27-sep-2018,,9,1,2,4,,,,,3,2,,1,10,,,,1,,2,2,,,,,,1,1,1,4,,,44
28-jan-2018,1,20,2,4,3,,1,,,4,11,2,1,10,,2,,3,3,2,2,5,1,,1,1,1,2,,5,,,87
28-feb-2018,,17,,2,2,,1,3,1,,4,,,14,,2,,3,2,,4,2,1,,1,1,5,1,3,14,,,83
28-mar-2018,,21,1,8,2,,,,1,4,5,1,,17,,5,,2,3,1,2,5,1,,,,2,1,3,12,,,97
28-apr-2018,,21,1,5,6,,,6,1,7,4,1,1,8,,2,,5,3,3,5,2,,1,,,6,4,,7,,,99
28-may-2018,,28,,4,,,,,2,8,1,,1,21,,1,1,2,4,5,4,1,,1,,,1,,1,17,,,103
28-jun-2018,,26,,3,3,1,,,2,9,3,2,2,16,,1,,5,,,2,2,1,,2,,1,3,1,10,,,95
28-jul-2018,1,18,,1,5,,1,1,2,6,4,1,1,10,,2,,3,1,1,3,5,,,,,1,,1,8,,,76
28-aug-2018,,13,,5,3,1,,,,5,3,2,,16,,2,1,,,2,,1,1,,,,4,1,2,10,,,72
28-sep-2018,,7,1,5,,1,,,1,5,,3,1,12,,1,,1,2,2,,1,,,,,6,1,1,5,,,56
29-jan-2018,,23,,3,4,,,1,2,5,4,,2,11,,3,,,3,,4,2,1,,1,,5,,1,11,,,86
29-mar-2018,,14,1,4,,,,,3,4,4,,,1,,2,1,,2,3,1,,,,,,3,1,,3,,,47
29-apr-2018,,22,,4,1,2,,,2,3,3,3,1,7,,2,,1,1,3,2,4,,1,1,,2,1,,10,,,76
29-may-2018,,20,3,6,3,,,,,9,2,2,3,19,,4,,3,1,1,3,1,,3,,,,1,2,11,,,97
29-jun-2018,,17,,4,1,,1,,,3,2,1,3,12,,3,,2,,1,6,3,,,1,,5,2,1,10,,,78
29-jul-2018,,14,,2,4,,,1,2,4,2,,6,5,,2,,4,3,2,1,2,1,,,,1,1,3,10,,,70
29-aug-2018,1,25,,7,,,,1,1,4,4,,1,13,,2,,1,3,,3,5,,,,,6,1,1,11,,,90
29-sep-2018,,14,2,3,3,1,,,1,7,,,1,5,,1,,1,2,5,3,4,,,,,1,1,3,12,,,70
